"year","industry_branch","average_wage"
2000,Administrativní a podpůrné činnosti,8989.1111
2000,Činnosti v oblasti nemovitostí,10633.5556
2000,Doprava a skladování,13278.5000
2000,Informační a komunikační činnosti,21829.7500
2000,"Kulturní, zábavní a rekreační činnosti",9644.4444
2000,Ostatní činnosti,9387.5556
2000,Peněžnictví a pojišťovnictví,25049.1250
2000,"Profesní, vědecké a technické činnosti",13937.1111
2000,Stavebnictví,12545.8750
2000,Těžba a dobývání,14718.2222
2000,"Ubytování, stravování a pohostinství",6592.0000
2000,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,11012.3333
2000,Veřejná správa a obrana; povinné sociální zabezpečení,15269.3750
2000,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",14663.2000
2000,Vzdělávání,10454.1111
2000,Zásobování vodou; činnosti související s odpady a sanacemi,13038.8750
2000,Zdravotní a sociální péče,11632.2500
2000,"Zemědělství, lesnictví, rybářství",10309.6250
2000,Zpracovatelský průmysl,11469.3333
2001,Administrativní a podpůrné činnosti,10833.1250
2001,Činnosti v oblasti nemovitostí,9525.4545
2001,Doprava a skladování,14201.1250
2001,Informační a komunikační činnosti,22366.7778
2001,"Kulturní, zábavní a rekreační činnosti",8931.4545
2001,Ostatní činnosti,10227.0000
2001,Peněžnictví a pojišťovnictví,22826.0000
2001,"Profesní, vědecké a technické činnosti",15088.2222
2001,Stavebnictví,10801.5000
2001,Těžba a dobývání,11838.0000
2001,"Ubytování, stravování a pohostinství",7417.1111
2001,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,10802.4000
2001,Veřejná správa a obrana; povinné sociální zabezpečení,16650.6250
2001,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",19756.7500
2001,Vzdělávání,11523.2222
2001,Zásobování vodou; činnosti související s odpady a sanacemi,12334.4444
2001,Zdravotní a sociální péče,13079.7500
2001,"Zemědělství, lesnictví, rybářství",10042.2222
2001,Zpracovatelský průmysl,11179.3000
2002,Administrativní a podpůrné činnosti,11582.3750
2002,Činnosti v oblasti nemovitostí,13203.5556
2002,Doprava a skladování,15294.5000
2002,Informační a komunikační činnosti,21664.5000
2002,"Kulturní, zábavní a rekreační činnosti",11211.1111
2002,Ostatní činnosti,12591.6250
2002,Peněžnictví a pojišťovnictví,27630.1111
2002,"Profesní, vědecké a technické činnosti",16832.4444
2002,Stavebnictví,14110.3750
2002,Těžba a dobývání,16671.4444
2002,"Ubytování, stravování a pohostinství",7451.7000
